,ESR1,PGR,GATA3,FOXA1,MKI67,PCNA,TOP2A,CCND1,MYC,BRCA2,GATA3,MAP3K1,PIK3CA,AKT1,MTOR,KRT8,KRT18,KRT19,EPCAM,KRT5,KRT14,EGFR,COL1A1,COL3A1,ACTA2,FAP,VIM,CD3D,CD8A,CD4,FOXP3,CD68,CD163,HIF1A,VEGFA,CA9
SPOT_00_25,10.0,14.0,17.0,5.0,6.0,1.0,8.0,5.0,4.0,7.0,33.0,2.0,14.0,3.0,7.0,12.0,22.0,19.0,35.0,0.0,0.0,2.0,2.0,4.0,5.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,8.0,6.0,5.0
SPOT_00_26,9.0,37.0,15.0,12.0,2.0,3.0,11.0,11.0,7.0,7.0,16.0,2.0,10.0,10.0,14.0,20.0,17.0,6.0,10.0,0.0,0.0,3.0,10.0,11.0,4.0,5.0,8.0,2.0,4.0,8.0,1.0,7.0,6.0,24.0,6.0,13.0
SPOT_00_27,47.0,9.0,34.0,5.0,2.0,9.0,6.0,11.0,2.0,10.0,16.0,6.0,4.0,4.0,17.0,9.0,29.0,17.0,14.0,1.0,1.0,1.0,8.0,1.0,6.0,4.0,6.0,4.0,12.0,11.0,0.0,10.0,19.0,7.0,2.0,2.0
SPOT_00_28,31.0,8.0,33.0,8.0,15.0,3.0,6.0,19.0,3.0,7.0,17.0,5.0,12.0,9.0,15.0,8.0,11.0,14.0,8.0,0.0,0.0,1.0,48.0,7.0,10.0,15.0,10.0,2.0,8.0,1.0,2.0,1.0,9.0,3.0,7.0,21.0
SPOT_00_29,5.0,11.0,23.0,27.0,7.0,3.0,2.0,9.0,5.0,4.0,39.0,9.0,10.0,3.0,7.0,11.0,19.0,5.0,10.0,0.0,1.0,0.0,22.0,11.0,1.0,22.0,11.0,3.0,1.0,3.0,1.0,21.0,8.0,6.0,29.0,4.0
SPOT_01_00,18.0,3.0,19.0,7.0,6.0,8.0,7.0,7.0,2.0,8.0,12.0,8.0,16.0,13.0,10.0,28.0,39.0,12.0,8.0,0.0,1.0,1.0,10.0,9.0,15.0,11.0,25.0,1.0,2.0,0.0,2.0,4.0,2.0,7.0,3.0,11.0
SPOT_01_01,11.0,22.0,23.0,48.0,13.0,6.0,3.0,5.0,4.0,7.0,13.0,1.0,19.0,18.0,4.0,19.0,26.0,18.0,24.0,1.0,1.0,2.0,12.0,9.0,10.0,13.0,16.0,3.0,2.0,3.0,12.0,16.0,4.0,24.0,23.0,2.0
SPOT_01_02,4.0,38.0,25.0,1.0,3.0,8.0,1.0,20.0,20.0,7.0,6.0,3.0,12.0,11.0,3.0,9.0,23.0,24.0,7.0,1.0,0.0,1.0,11.0,8.0,3.0,2.0,12.0,4.0,3.0,7.0,3.0,16.0,2.0,5.0,3.0,17.0
SPOT_01_03,19.0,9.0,23.0,9.0,8.0,10.0,1.0,8.0,11.0,5.0,30.0,4.0,27.0,5.0,12.0,11.0,26.0,30.0,37.0,0.0,0.0,0.0,21.0,11.0,13.0,13.0,15.0,10.0,3.0,2.0,1.0,11.0,11.0,3.0,18.0,7.0
SPOT_01_04,43.0,16.0,13.0,3.0,5.0,7.0,3.0,6.0,3.0,4.0,34.0,3.0,14.0,24.0,12.0,63.0,14.0,11.0,10.0,2.0,0.0,0.0,8.0,15.0,3.0,20.0,5.0,3.0,2.0,4.0,4.0,9.0,15.0,14.0,9.0,3.0
SPOT_01_05,6.0,20.0,15.0,15.0,3.0,2.0,11.0,16.0,4.0,7.0,11.0,7.0,14.0,20.0,12.0,19.0,13.0,9.0,13.0,1.0,0.0,0.0,5.0,8.0,21.0,11.0,5.0,6.0,2.0,11.0,2.0,5.0,4.0,6.0,5.0,6.0
SPOT_01_06,2.0,6.0,19.0,26.0,6.0,6.0,1.0,3.0,10.0,10.0,27.0,3.0,43.0,4.0,8.0,13.0,15.0,18.0,12.0,1.0,0.0,1.0,35.0,6.0,7.0,15.0,19.0,3.0,3.0,3.0,2.0,1.0,8.0,4.0,23.0,6.0
SPOT_01_07,8.0,4.0,16.0,2.0,21.0,2.0,2.0,1.0,2.0,12.0,32.0,6.0,25.0,8.0,8.0,100.0,21.0,32.0,5.0,0.0,0.0,1.0,11.0,16.0,24.0,12.0,10.0,2.0,1.0,3.0,2.0,4.0,8.0,7.0,12.0,5.0
SPOT_01_08,20.0,2.0,73.0,4.0,5.0,10.0,7.0,4.0,15.0,7.0,10.0,2.0,5.0,13.0,34.0,9.0,4.0,6.0,3.0,0.0,0.0,2.0,18.0,29.0,46.0,3.0,10.0,1.0,4.0,2.0,3.0,8.0,4.0,5.0,6.0,10.0
SPOT_01_09,21.0,5.0,18.0,16.0,14.0,5.0,22.0,4.0,7.0,6.0,24.0,3.0,6.0,2.0,5.0,12.0,9.0,18.0,28.0,0.0,0.0,3.0,3.0,6.0,6.0,6.0,5.0,4.0,6.0,4.0,4.0,7.0,5.0,7.0,17.0,4.0
SPOT_01_10,18.0,9.0,17.0,17.0,22.0,10.0,6.0,3.0,3.0,4.0,14.0,14.0,8.0,4.0,8.0,32.0,7.0,10.0,77.0,0.0,0.0,1.0,19.0,9.0,7.0,10.0,11.0,1.0,2.0,1.0,7.0,28.0,4.0,5.0,16.0,26.0
SPOT_01_11,30.0,18.0,14.0,4.0,20.0,3.0,6.0,20.0,4.0,2.0,22.0,4.0,5.0,12.0,13.0,14.0,16.0,25.0,14.0,0.0,1.0,2.0,6.0,8.0,2.0,6.0,14.0,3.0,2.0,6.0,2.0,4.0,3.0,18.0,5.0,0.0
SPOT_01_12,35.0,11.0,11.0,3.0,12.0,4.0,5.0,13.0,8.0,9.0,11.0,5.0,10.0,8.0,4.0,6.0,31.0,5.0,7.0,0.0,2.0,1.0,6.0,15.0,6.0,3.0,10.0,4.0,13.0,4.0,17.0,3.0,7.0,13.0,11.0,1.0
SPOT_01_13,6.0,1.0,19.0,17.0,6.0,1.0,2.0,12.0,2.0,1.0,11.0,4.0,6.0,20.0,5.0,13.0,17.0,23.0,27.0,0.0,0.0,1.0,20.0,7.0,14.0,4.0,36.0,24.0,0.0,1.0,10.0,1.0,3.0,8.0,11.0,2.0
SPOT_01_14,89.0,3.0,54.0,6.0,8.0,5.0,5.0,6.0,2.0,4.0,21.0,2.0,1.0,3.0,4.0,19.0,14.0,5.0,19.0,0.0,0.0,1.0,26.0,18.0,11.0,3.0,3.0,3.0,5.0,8.0,3.0,2.0,9.0,7.0,3.0,6.0
SPOT_01_15,29.0,13.0,23.0,2.0,3.0,22.0,11.0,4.0,5.0,2.0,9.0,4.0,10.0,15.0,20.0,7.0,7.0,35.0,12.0,0.0,1.0,1.0,21.0,6.0,19.0,3.0,4.0,6.0,1.0,2.0,1.0,2.0,4.0,9.0,7.0,1.0
SPOT_01_16,11.0,5.0,7.0,14.0,11.0,2.0,4.0,6.0,6.0,1.0,67.0,2.0,14.0,3.0,2.0,9.0,29.0,2.0,6.0,1.0,0.0,1.0,17.0,15.0,12.0,5.0,16.0,3.0,3.0,4.0,3.0,14.0,3.0,26.0,8.0,6.0
SPOT_01_17,27.0,16.0,28.0,20.0,6.0,4.0,4.0,10.0,17.0,5.0,28.0,2.0,16.0,15.0,5.0,31.0,38.0,5.0,10.0,0.0,0.0,3.0,7.0,7.0,4.0,5.0,8.0,1.0,1.0,2.0,6.0,4.0,3.0,9.0,11.0,4.0
SPOT_01_18,6.0,34.0,18.0,28.0,8.0,7.0,2.0,8.0,6.0,2.0,13.0,1.0,5.0,7.0,4.0,12.0,25.0,29.0,9.0,1.0,1.0,0.0,29.0,7.0,4.0,11.0,5.0,8.0,5.0,6.0,6.0,9.0,18.0,4.0,11.0,6.0
SPOT_01_19,17.0,9.0,8.0,14.0,7.0,12.0,18.0,16.0,9.0,5.0,12.0,2.0,3.0,10.0,10.0,32.0,4.0,14.0,11.0,0.0,0.0,1.0,13.0,6.0,5.0,7.0,27.0,2.0,1.0,4.0,7.0,1.0,3.0,1.0,8.0,8.0
SPOT_01_20,13.0,7.0,47.0,26.0,4.0,5.0,1.0,11.0,4.0,3.0,17.0,3.0,26.0,16.0,3.0,44.0,20.0,45.0,13.0,0.0,0.0,0.0,20.0,6.0,5.0,3.0,35.0,1.0,4.0,1.0,8.0,3.0,5.0,18.0,7.0,4.0
SPOT_01_21,10.0,7.0,25.0,16.0,10.0,6.0,2.0,17.0,11.0,4.0,25.0,4.0,15.0,15.0,10.0,14.0,15.0,9.0,27.0,0.0,1.0,0.0,8.0,7.0,17.0,8.0,8.0,3.0,2.0,5.0,2.0,8.0,9.0,4.0,7.0,10.0
SPOT_01_22,14.0,9.0,23.0,10.0,23.0,6.0,1.0,11.0,9.0,4.0,27.0,9.0,29.0,2.0,5.0,25.0,10.0,14.0,17.0,1.0,0.0,1.0,26.0,8.0,6.0,10.0,6.0,4.0,5.0,3.0,2.0,5.0,6.0,1.0,4.0,10.0
SPOT_01_23,7.0,2.0,17.0,23.0,2.0,5.0,3.0,4.0,18.0,8.0,16.0,3.0,19.0,2.0,6.0,20.0,23.0,25.0,24.0,0.0,0.0,2.0,10.0,37.0,6.0,1.0,3.0,3.0,5.0,3.0,6.0,6.0,14.0,12.0,15.0,1.0
SPOT_01_24,18.0,12.0,32.0,7.0,8.0,5.0,7.0,8.0,15.0,9.0,24.0,6.0,2.0,7.0,11.0,50.0,22.0,19.0,11.0,2.0,0.0,1.0,12.0,8.0,4.0,8.0,8.0,1.0,1.0,2.0,1.0,4.0,3.0,11.0,16.0,3.0
SPOT_01_25,34.0,9.0,38.0,27.0,6.0,4.0,9.0,14.0,13.0,4.0,22.0,7.0,25.0,6.0,3.0,25.0,16.0,12.0,19.0,0.0,0.0,0.0,17.0,17.0,7.0,4.0,13.0,6.0,0.0,1.0,4.0,8.0,8.0,6.0,8.0,5.0
SPOT_01_26,11.0,8.0,10.0,9.0,4.0,2.0,5.0,4.0,3.0,6.0,13.0,4.0,10.0,13.0,2.0,14.0,12.0,53.0,3.0,0.0,0.0,1.0,9.0,2.0,6.0,2.0,4.0,5.0,4.0,19.0,3.0,12.0,11.0,16.0,8.0,6.0
SPOT_01_27,20.0,18.0,11.0,4.0,12.0,25.0,9.0,10.0,4.0,6.0,18.0,1.0,6.0,10.0,7.0,31.0,52.0,13.0,9.0,0.0,1.0,2.0,5.0,17.0,52.0,12.0,9.0,5.0,3.0,4.0,6.0,9.0,10.0,6.0,9.0,14.0
SPOT_01_28,4.0,10.0,48.0,10.0,11.0,5.0,6.0,2.0,5.0,3.0,11.0,10.0,3.0,11.0,5.0,24.0,16.0,14.0,10.0,0.0,0.0,2.0,13.0,10.0,34.0,7.0,16.0,2.0,1.0,7.0,2.0,6.0,4.0,8.0,17.0,3.0
SPOT_01_29,43.0,21.0,34.0,22.0,2.0,1.0,9.0,5.0,5.0,9.0,10.0,8.0,5.0,14.0,9.0,10.0,16.0,11.0,20.0,1.0,0.0,0.0,6.0,9.0,8.0,2.0,3.0,2.0,3.0,5.0,11.0,8.0,10.0,10.0,5.0,5.0
SPOT_02_00,6.0,6.0,18.0,6.0,7.0,7.0,6.0,9.0,3.0,9.0,12.0,10.0,15.0,20.0,2.0,16.0,13.0,20.0,26.0,1.0,0.0,2.0,6.0,7.0,5.0,3.0,3.0,7.0,3.0,1.0,1.0,11.0,13.0,8.0,8.0,3.0
SPOT_02_01,7.0,34.0,11.0,30.0,8.0,17.0,4.0,7.0,2.0,3.0,31.0,4.0,11.0,1.0,7.0,12.0,21.0,26.0,39.0,3.0,0.0,3.0,19.0,39.0,10.0,6.0,2.0,2.0,3.0,6.0,0.0,9.0,12.0,32.0,12.0,7.0
SPOT_02_02,8.0,26.0,36.0,8.0,10.0,11.0,5.0,7.0,20.0,4.0,23.0,0.0,10.0,5.0,3.0,24.0,70.0,50.0,21.0,0.0,0.0,1.0,28.0,2.0,16.0,16.0,8.0,3.0,2.0,13.0,8.0,8.0,1.0,12.0,3.0,13.0
SPOT_02_03,34.0,17.0,16.0,5.0,20.0,1.0,20.0,4.0,6.0,7.0,21.0,4.0,11.0,3.0,8.0,42.0,42.0,11.0,24.0,0.0,1.0,1.0,4.0,8.0,6.0,5.0,8.0,3.0,5.0,10.0,2.0,2.0,11.0,13.0,25.0,2.0
SPOT_02_04,34.0,15.0,8.0,3.0,1.0,5.0,10.0,17.0,12.0,9.0,35.0,7.0,10.0,4.0,5.0,19.0,17.0,14.0,9.0,0.0,0.0,0.0,5.0,8.0,16.0,2.0,8.0,1.0,4.0,12.0,0.0,3.0,3.0,7.0,3.0,2.0
SPOT_02_05,6.0,11.0,31.0,8.0,20.0,10.0,1.0,5.0,19.0,5.0,12.0,5.0,11.0,13.0,4.0,36.0,17.0,10.0,21.0,1.0,1.0,1.0,10.0,20.0,15.0,20.0,7.0,4.0,1.0,1.0,4.0,5.0,12.0,8.0,3.0,11.0
SPOT_02_06,11.0,10.0,16.0,5.0,10.0,1.0,6.0,8.0,2.0,3.0,24.0,5.0,28.0,12.0,25.0,21.0,42.0,37.0,75.0,1.0,0.0,0.0,22.0,18.0,11.0,15.0,11.0,10.0,3.0,1.0,2.0,3.0,12.0,18.0,4.0,11.0
SPOT_02_07,23.0,10.0,31.0,10.0,11.0,3.0,2.0,6.0,3.0,3.0,10.0,5.0,2.0,10.0,14.0,16.0,28.0,20.0,2.0,0.0,1.0,4.0,11.0,10.0,56.0,8.0,5.0,7.0,11.0,2.0,1.0,9.0,24.0,16.0,11.0,2.0
SPOT_02_08,10.0,14.0,7.0,4.0,2.0,9.0,10.0,6.0,17.0,6.0,7.0,7.0,6.0,9.0,3.0,20.0,19.0,71.0,6.0,1.0,0.0,2.0,10.0,13.0,8.0,2.0,10.0,4.0,2.0,2.0,3.0,11.0,6.0,7.0,12.0,17.0
SPOT_02_09,14.0,8.0,10.0,7.0,17.0,10.0,5.0,4.0,4.0,13.0,11.0,5.0,18.0,6.0,6.0,26.0,6.0,48.0,5.0,1.0,1.0,0.0,31.0,13.0,7.0,4.0,14.0,6.0,2.0,11.0,2.0,11.0,4.0,2.0,4.0,7.0
SPOT_02_10,16.0,11.0,147.0,25.0,9.0,12.0,3.0,63.0,41.0,30.0,106.0,5.0,49.0,41.0,19.0,6.0,14.0,54.0,71.0,2.0,8.0,7.0,1079.0,439.0,497.0,428.0,504.0,2.0,5.0,11.0,48.0,28.0,15.0,30.0,22.0,23.0
SPOT_02_11,2.0,8.0,96.0,25.0,26.0,49.0,10.0,74.0,31.0,38.0,31.0,36.0,31.0,19.0,13.0,26.0,35.0,64.0,63.0,4.0,2.0,20.0,42.0,42.0,94.0,55.0,268.0,452.0,94.0,186.0,111.0,79.0,61.0,42.0,39.0,31.0
SPOT_02_12,27.0,9.0,104.0,29.0,56.0,60.0,11.0,43.0,12.0,40.0,59.0,15.0,19.0,21.0,24.0,6.0,11.0,44.0,16.0,8.0,2.0,5.0,1641.0,421.0,770.0,607.0,192.0,12.0,42.0,23.0,13.0,13.0,17.0,58.0,72.0,18.0
SPOT_02_13,8.0,14.0,82.0,76.0,4.0,16.0,41.0,63.0,27.0,16.0,85.0,6.0,26.0,27.0,35.0,21.0,16.0,47.0,40.0,4.0,2.0,3.0,370.0,713.0,575.0,322.0,834.0,15.0,13.0,21.0,8.0,16.0,12.0,15.0,23.0,6.0
SPOT_02_14,18.0,4.0,61.0,68.0,13.0,40.0,42.0,42.0,21.0,56.0,98.0,81.0,42.0,28.0,26.0,18.0,77.0,64.0,90.0,3.0,2.0,8.0,35.0,44.0,27.0,40.0,101.0,248.0,512.0,62.0,151.0,353.0,271.0,23.0,39.0,93.0
SPOT_02_15,17.0,16.0,64.0,13.0,129.0,6.0,34.0,23.0,17.0,10.0,35.0,11.0,22.0,25.0,43.0,25.0,5.0,112.0,55.0,4.0,3.0,2.0,422.0,1389.0,580.0,404.0,209.0,15.0,19.0,10.0,13.0,13.0,12.0,46.0,86.0,11.0
SPOT_02_16,32.0,9.0,170.0,17.0,31.0,31.0,8.0,32.0,132.0,15.0,79.0,34.0,53.0,26.0,13.0,12.0,151.0,67.0,142.0,5.0,1.0,2.0,32.0,61.0,15.0,38.0,75.0,202.0,177.0,191.0,265.0,521.0,101.0,3.0,21.0,23.0
SPOT_02_17,9.0,23.0,24.0,10.0,73.0,17.0,79.0,52.0,8.0,15.0,51.0,21.0,26.0,17.0,7.0,29.0,22.0,115.0,34.0,2.0,6.0,2.0,353.0,165.0,291.0,622.0,557.0,20.0,8.0,25.0,6.0,28.0,24.0,17.0,17.0,10.0
SPOT_02_18,23.0,6.0,93.0,41.0,14.0,58.0,24.0,25.0,40.0,16.0,149.0,66.0,24.0,16.0,27.0,15.0,22.0,82.0,34.0,3.0,3.0,3.0,255.0,439.0,419.0,552.0,275.0,11.0,12.0,19.0,5.0,29.0,11.0,17.0,21.0,10.0
SPOT_02_19,19.0,9.0,100.0,37.0,52.0,100.0,15.0,115.0,19.0,19.0,136.0,7.0,70.0,17.0,18.0,26.0,30.0,66.0,113.0,6.0,5.0,1.0,596.0,690.0,947.0,289.0,727.0,10.0,11.0,32.0,10.0,49.0,50.0,36.0,80.0,48.0
SPOT_02_20,20.0,9.0,120.0,42.0,35.0,23.0,46.0,20.0,35.0,21.0,74.0,29.0,28.0,20.0,28.0,16.0,128.0,105.0,43.0,5.0,9.0,14.0,75.0,47.0,40.0,52.0,120.0,237.0,172.0,163.0,190.0,851.0,283.0,315.0,20.0,71.0
SPOT_02_21,18.0,13.0,6.0,4.0,3.0,4.0,2.0,13.0,18.0,4.0,9.0,3.0,30.0,5.0,5.0,9.0,25.0,16.0,8.0,1.0,1.0,3.0,9.0,3.0,15.0,11.0,7.0,4.0,2.0,3.0,8.0,2.0,4.0,4.0,106.0,7.0
SPOT_02_22,17.0,4.0,26.0,32.0,6.0,17.0,1.0,7.0,18.0,2.0,18.0,9.0,14.0,3.0,4.0,17.0,30.0,25.0,13.0,0.0,1.0,0.0,7.0,5.0,5.0,3.0,2.0,4.0,8.0,11.0,0.0,2.0,5.0,11.0,1.0,10.0
SPOT_02_23,13.0,19.0,21.0,7.0,6.0,22.0,16.0,14.0,8.0,7.0,19.0,1.0,9.0,14.0,5.0,13.0,21.0,5.0,15.0,0.0,0.0,1.0,11.0,7.0,8.0,11.0,8.0,1.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0,8.0
SPOT_02_24,17.0,4.0,9.0,3.0,5.0,2.0,3.0,11.0,6.0,9.0,20.0,2.0,15.0,4.0,9.0,26.0,13.0,2.0,8.0,1.0,0.0,2.0,26.0,8.0,14.0,4.0,14.0,3.0,3.0,4.0,2.0,4.0,15.0,0.0,13.0,5.0
SPOT_02_25,12.0,5.0,21.0,18.0,9.0,1.0,4.0,24.0,7.0,4.0,15.0,3.0,17.0,7.0,1.0,20.0,7.0,56.0,8.0,1.0,0.0,3.0,22.0,14.0,2.0,15.0,5.0,14.0,2.0,5.0,2.0,4.0,3.0,8.0,5.0,2.0
SPOT_02_26,4.0,21.0,12.0,25.0,13.0,2.0,7.0,5.0,1.0,10.0,16.0,1.0,9.0,8.0,2.0,50.0,11.0,14.0,15.0,1.0,0.0,0.0,36.0,16.0,9.0,14.0,7.0,12.0,2.0,3.0,2.0,3.0,7.0,16.0,7.0,2.0
SPOT_02_27,14.0,37.0,30.0,11.0,8.0,2.0,6.0,13.0,7.0,4.0,29.0,1.0,6.0,6.0,2.0,6.0,51.0,32.0,9.0,1.0,0.0,0.0,2.0,9.0,3.0,7.0,12.0,8.0,4.0,2.0,4.0,5.0,31.0,12.0,7.0,11.0
SPOT_02_28,16.0,10.0,12.0,10.0,17.0,2.0,4.0,4.0,3.0,6.0,7.0,9.0,7.0,8.0,5.0,31.0,25.0,7.0,26.0,2.0,0.0,1.0,18.0,4.0,13.0,11.0,23.0,7.0,2.0,1.0,2.0,7.0,13.0,3.0,2.0,1.0
